Gen,bus,type,name,P_max,Q_max,,,,,,,,
1,1,Solar PV,Solar_PV_1,1960,980,,,,,1960,980,,
2,2,Solar PV,Solar_PV_2,640,320,,,,,640,320,,
3,3,Solar PV,Solar_PV_3,5600,2800,,,,,5600,2800,,
4,4,Solar PV,Solar_PV_4,5160,2580,,,,,5160,2580,,
5,5,Solar PV,Solar_PV_5,5050,2525,,,,,5050,2525,,
6,6,Solar PV,Solar_PV_6,3090,1545,,,,,3090,1545,,
7,1,Onshore Wind,Onshore_Wind_1,540,270,,,,,540,270,,
8,2,Onshore Wind,Onshore_Wind_2,1090,545,,,,,1090,545,,
9,3,Onshore Wind,Onshore_Wind_3,1970,985,,,,,1970,985,,
10,4,Onshore Wind,Onshore_Wind_4,2180,1090,,,,,2180,1090,,
11,5,Onshore Wind,Onshore_Wind_5,1350,675,,,,,1350,675,,
12,6,Onshore Wind,Onshore_Wind_6,880,440,,,,,880,440,,
13,1,Offshore Wind,Offshore_Wind_1,1080,540,,,,,1080,540,,
14,2,Offshore Wind,Offshore_Wind_2,90,45,,,,,90,45,,
15,3,Offshore Wind,Offshore_Wind_3,2100,1050,,,,,2100,1050,,
16,4,Offshore Wind,Offshore_Wind_4,250,125,,,,,250,125,,
17,5,Offshore Wind,Offshore_Wind_5,40,20,,,,,40,20,,
18,6,Offshore Wind,Offshore_Wind_6,190,95,,,,,190,95,,
19,1,Conventional,Conventional_gen_1,1000,500,560,225,280,,560,280,,56000
20,2,Conventional,Conventional_gen_2,800,400,460,345,230,,460,230,,
21,3,Conventional,Conventional_gen_3,2000,1000,1150,630,575,,1150,575,,
22,4,Conventional,Conventional_gen_4,1700,850,890,550,445,,890,445,,
23,5,Conventional,Conventional_gen_5,2100,1050,1330,790,665,,1330,665,,
24,6,Conventional,Conventional_gen_6,1300,650,620,390,310,,620,310,,
25,1,VOLL,VOLL_gen_1,5000,0,,,,,0,0,,
26,2,VOLL,VOLL_gen_2,5000,0,,,,,0,0,,
27,3,VOLL,VOLL_gen_3,5000,0,,,,,0,0,,
28,4,VOLL,VOLL_gen_4,5000,0,,,,,0,0,,
29,5,VOLL,VOLL_gen_5,5000,0,,,,,0,0,,
30,6,VOLL,VOLL_gen_6,5000,0,,,,,0,0,,
