pg_7,pg_8,pg_9,pg_10,pg_11,pg_12,pg_13,pg_14,pg_15,pg_16,pg_17,pg_18,pg_19,pg_20,pg_21,pg_22,pg_23,pg_24,
146.3773178,75.22198414,169.5764595,114.8757983,82.52271759,179.6744411,242.614049,10.15168644,201.6435443,48.47853287,3.594051038,47.598591,362.9733109,453.4407177,1144.043372,859.9409736,1298.947286,481.6844155,
250.8834252,344.2494633,169.5764595,561.2670071,531.7177578,201.7907384,574.6256804,25.24762541,181.9839607,105.6670611,18.43723514,11.4664677,1.30E-08,439.9256555,811.0807461,654.3477865,1091.055439,593.0912972,
47.125188,315.2123584,169.5764595,0,0,0,0,34.87677107,196.6901711,0,0,0,0,117.0044334,0,0,0,0,
45.57601501,74.56284235,169.5764595,123.6872316,273.1416874,96.16777164,111.4625182,3.512192517,90.19564354,57.8170735,9.099318586,8.6844174,500,214.1742041,866.3190645,507.2374454,860.1678022,305.8735257,
1,2,3,4,5,6,1,2,3,4,5,6,1,2,3,4,5,6,
,,,,,,,,,,,,500,630,1150,1020,1500,680,
,,,,,,,,,,,,137.0266891,176.5592823,5.956627807,160.0590264,201.0527142,198.3155845,
,,,,,,,,,,,,5.00E+02,190.0743445,338.9192539,365.6522135,408.9445608,86.90870276,
,,,,,,,,,,,,500,512.9955666,1150,1020,1500,680,
,,,,,,,,,,,,0,415.8257959,283.6809355,512.7625546,639.8321978,374.1264743,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,227.4989788,-161.6331489,295.6009725,-107.716348,-203.1681318,-14.13823801,36.44408463
,,,,,,,,,,,,204.1797247,110.6574197,-232.9988483,39.00802047,-61.52872848,-35.39972485,23.91786317
,,,,,,,,,,,,-458.5662262,-254.8883469,-966.3196458,-1201.630831,-1658.636775,-764.6559575,-5304.697782
,,,,,,,,,,,,181.1588091,-146.7359536,130.9362309,-88.57698289,-2.497931481,-59.16297891,15.12119309
