time_step,pac_1,pdc_1,pac_2,pdc_2,pac_3,pdc_3,pac_4,pdc_4,pac_5,pdc_5,pac_6,pdc_6,pac_8,pdc_8,pac_9,pdc_9,pac_10,pdc_10,pac_11,pdc_11,pac_12,pdc_12,pac_13,pdc_13,pac_14,pdc_14,pac_15,pdc_15,pac_16,pdc_16,pac_17,pdc_17,pac_18,pdc_18,pac_19,pdc_19,pac_20,pdc_20,pac_21,pdc_21,pac_22,pdc_22,pac_23,pdc_23,pac_24,pdc_24,pac_25,pdc_25,pac_26,pdc_26,pac_27,pdc_27,pac_28,pdc_28,pac_29,pdc_29,pac_30,pdc_30
1,53.06850933,-51.10536074,-38.75296866,39.81908538,35.80408886,-34.88875847,-5.581438526,5.620801737,-44.65069289,46.05321919,-9.010898922,9.088305745,-5.581438526,5.620801737,-5.581438526,5.620801737,-5.581438526,5.620801737,-5.581438526,5.620801737,53.06850933,-51.10536074,-44.65069289,46.05321919,-44.65069289,46.05321919,-44.65069289,46.05321919,-38.75296866,39.81908538,-9.010898922,9.088305745,35.80408886,-34.88875847,35.80408886,-34.88875847,35.80408886,-34.88875847,35.80408886,-34.88875847,35.80408886,-34.88875847,60.00000058,-57.50417599,57.59825374,-55.29426468,60.00000058,-57.50417599,-55.04070603,57.14888448,-55.07549986,57.18628357,-53.15217033,55.12136561,60.00000057,-57.50417598,-54.84931302,56.94318939
2,33.72780568,-32.91167589,41.2000624,-40.00000037,-22.26908474,22.64130086,19.24409897,-18.95981627,-15.30088045,15.4888849,-20.61858443,20.94130729,19.24409897,-18.95981627,19.24409897,-18.95981627,19.24409897,-18.95981627,19.24409897,-18.95981627,33.72780568,-32.91167589,-15.30088045,15.4888849,-15.30088045,15.4888849,-15.30088045,15.4888849,41.2000624,-40.00000037,-20.61858443,20.94130729,-22.26908474,22.64130086,-22.26908474,22.64130086,-22.26908474,22.64130086,-22.26908474,22.64130086,-22.26908474,22.64130086,38.01715608,-36.98975131,60.00000056,-57.50417597,38.70696537,-37.64329012,-36.53920595,37.49103875,57.3090081,-55.02760231,-55.19726642,57.31718043,-52.79318675,54.73650207,-35.8405074,36.75762918
3,-47.24247339,48.80752835,-38.75173876,39.81779017,-32.75646439,33.52816212,33.51433056,-32.70807379,30.41484473,-29.74507962,50.5533424,-48.76761586,33.51433056,-32.70807379,33.51433059,-32.70807382,33.51433056,-32.70807379,33.51433057,-32.7080738,-47.24247339,48.80752835,30.41484473,-29.74507962,30.41484473,-29.74507962,30.41484473,-29.74507962,-38.75173876,39.81779017,50.5533424,-48.76761586,-32.75646439,33.52816212,-32.75646439,33.52816212,-32.75646439,33.52816212,-32.75646439,33.52816212,-32.75646439,33.52816212,-54.849313,56.94318935,60.00000057,-57.50417597,60.00000059,-57.50417599,-55.04070603,57.14888448,-55.07549985,57.18628357,-55.19726641,57.31718043,60.00000059,-57.50417598,60.00000058,-57.50417597
4,50.96394263,-49.14982902,-38.75237181,39.81845684,12.5443136,-12.41128201,-10.87539001,10.98007081,2.41E-05,0.011005872,-18.50868433,18.77343582,-10.87539001,10.98007081,-10.87539001,10.98007081,-10.87539001,10.98007081,-10.87539001,10.98007081,50.96394263,-49.14982902,2.41E-05,0.011005872,2.41E-05,0.011005872,2.41E-05,0.011005872,-38.75237181,39.81845684,-18.50868433,18.77343582,12.5443136,-12.41128201,12.5443136,-12.41128201,12.5443136,-12.41128201,12.5443136,-12.41128201,12.5443136,-12.41128201,30.23272761,-29.57058331,20.76030395,-20.43347415,60.00000027,-57.50417571,-55.04070577,57.1488842,-40.17949072,41.32271812,-20.10188656,20.40986301,42.77891988,-41.48819237,-28.81779374,29.42223811
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
